ID,Title_Name,Year,Rating,Runtime,Genres,Release_Date,Release_Country,10,9,8,7,6,5,4,3,2,1,Rank_All_All_Ages,Rank_All_<18,Rank_All_18-29,Rank_All_30-44,Rank_All_45+,Rank_Male_All_Ages,Rank_Male_<18,Rank_Male_18-29,Rank_Male_30-44,Rank_Male_45+,Rank_Female_All_Ages,Rank_Female_<18,Rank_Female_18-29,Rank_Female_30-44,Rank_Female_45+,Count_All_All_Ages,Count_All_<18,Count_All_18-29,Count_All_30-44,Count_All_45+,Count_Male_All_Ages,Count_Male_<18,Count_Male_18-29,Count_Male_30-44,Count_Male_45+,Count_Female_All_Ages,Count_Female_<18,Count_Female_18-29,Count_Female_30-44,Count_Female_45+
1675434/,The Intouchables,2011,R,112,"Biography, Comedy, Drama",2011-11-02,France,197487.0,232841.0,187908.0,78407.0,22869.0,8130.0,3695.0,2022.0,1522.0,4012.0,8.5,8.3,8.7,8.5,8.2,8.5,8.4,8.6,8.4,8.2,8.7,7.9,8.8,8.7,8.5,738893.0,542.0,196286.0,264975.0,48152.0,422430.0,354.0,140300.0,205704.0,38449.0,125004.0,109.0,51036.0,54050.0,8495.0
2582802/,Whiplash,2014,R,106,"Drama, Music",2014-10-15,Philippines,150791.0,223448.0,190922.0,81606.0,24471.0,9181.0,4683.0,2560.0,1839.0,3838.0,8.5,8.8,8.7,8.4,8.1,8.5,8.9,8.7,8.4,8.1,8.3,8.0,8.5,8.2,8.2,693339.0,658.0,192588.0,220194.0,42466.0,400861.0,478.0,148099.0,179446.0,35002.0,92425.0,108.0,40195.0,36874.0,6458.0
0482571/,The Prestige,2006,PG-13,130,"Drama, Mystery, Sci-Fi",2006-10-20,USA,278481.0,367289.0,312460.0,132984.0,39344.0,13365.0,5831.0,2874.0,2065.0,5291.0,8.5,8.8,8.7,8.4,7.9,8.5,8.8,8.8,8.5,7.9,8.4,8.4,8.6,8.3,7.9,1159984.0,704.0,280410.0,469237.0,77384.0,725391.0,527.0,221256.0,388345.0,63761.0,151391.0,91.0,53953.0,74943.0,12264.0
0095327/,Grave of the Fireflies,1988,Not Rated,89,"Animation, Drama, War",1989-07-26,USA,66773.0,59997.0,52986.0,25268.0,9149.0,4166.0,2213.0,1268.0,1071.0,3730.0,8.5,8.6,8.6,8.5,8.2,8.5,8.6,8.6,8.4,8.1,8.6,8.7,8.6,8.6,8.4,226621.0,220.0,54865.0,87480.0,15659.0,131673.0,152.0,40216.0,70451.0,12664.0,34728.0,43.0,13617.0,15903.0,2720.0
0064116/,Once Upon a Time in the West,1968,PG-13,165,Western,1969-07-04,USA,81378.0,79219.0,71669.0,35332.0,12594.0,5787.0,2900.0,1633.0,1296.0,4375.0,8.5,8.4,8.4,8.5,8.5,8.5,8.4,8.5,8.5,8.5,8.1,8.4,8.0,8.1,8.1,296183.0,151.0,46929.0,123826.0,47224.0,207894.0,124.0,41989.0,113505.0,42416.0,18300.0,15.0,4337.0,9063.0,4086.0
0034583/,Casablanca,1942,PG,102,"Drama, Romance, War",1943-01-23,USA,154765.0,124995.0,118502.0,61992.0,22980.0,10320.0,4908.0,2898.0,2475.0,7544.0,8.5,8.3,8.4,8.4,8.6,8.5,8.4,8.5,8.5,8.7,8.3,7.8,8.2,8.3,8.6,511379.0,234.0,79641.0,202841.0,85918.0,303184.0,178.0,58209.0,160762.0,70095.0,78481.0,41.0,20219.0,39751.0,14455.0
0095765/,Cinema Paradiso,1988,R,155,Drama,1990-02-23,USA,62469.0,61379.0,54882.0,25430.0,9041.0,4080.0,2056.0,1030.0,964.0,2638.0,8.5,8.4,8.6,8.4,8.4,8.5,8.4,8.6,8.4,8.4,8.5,8.1,8.6,8.5,8.5,223969.0,125.0,39172.0,88785.0,33421.0,135133.0,96.0,29345.0,71244.0,27349.0,33059.0,20.0,9181.0,16404.0,5505.0
0047396/,Rear Window,1954,PG,112,"Mystery, Thriller",1954-09-01,USA,100751.0,121837.0,120392.0,56161.0,17621.0,6801.0,3146.0,1724.0,1353.0,4030.0,8.4,8.7,8.5,8.4,8.5,8.4,8.8,8.5,8.4,8.5,8.5,8.0,8.4,8.4,8.7,433816.0,222.0,75422.0,170108.0,66405.0,263717.0,164.0,58256.0,139055.0,53583.0,59982.0,41.0,15979.0,29057.0,11763.0
0078748/,Alien,1979,R,117,"Horror, Sci-Fi",1979-06-22,USA,174661.0,218195.0,216777.0,102725.0,31946.0,12115.0,5306.0,2914.0,2019.0,4339.0,8.4,8.5,8.3,8.4,8.7,8.5,8.5,8.3,8.5,8.7,8.2,8.1,8.0,8.2,8.5,770997.0,458.0,121779.0,314464.0,109820.0,501908.0,360.0,102318.0,274039.0,94150.0,72277.0,61.0,17451.0,36428.0,13893.0
0078788/,Apocalypse Now,1979,R,147,"Drama, Mystery, War",1979-08-15,USA,157615.0,158016.0,141335.0,74236.0,29116.0,13100.0,6622.0,3961.0,2834.0,6021.0,8.4,8.7,8.5,8.4,8.5,8.5,8.8,8.5,8.4,8.5,8.1,8.5,8.1,8.1,8.2,592856.0,237.0,89483.0,247850.0,90590.0,402024.0,197.0,78875.0,223051.0,79245.0,42888.0,29.0,9184.0,21817.0,9824.0
